bench_name,target_cell,legal_stimulus_description,hit_count,hit_spacing,reset_cycles,threshold_param,leak_param,scan_condition,accumulator_peak,spiked,first_spike_cycle,notes
lif_hold,5,hash-aligned hits,32,0,64,16,2,hold,4,0,-1,LIF_RESULT bench=lif_hold mode=0 target=5 hit_count=32 hit_spacing=0 peak=4 spiked=0 first_spike=-1 final_state=3 leak_shift=2 thresh=16
lif_free_run,5,hash-aligned hits,64,0,64,16,2,free-run,0,0,-1,LIF_RESULT bench=lif_free_run mode=1 target=5 hit_count=64 hit_spacing=0 peak=0 spiked=0 first_spike=-1 final_state=0 leak_shift=2 thresh=16
