test_name,command,simulator,reset_cycles,warmup_cycles,total_cycles,event_pattern,pred_valid_count,first_pred_cycle,first_nonzero_lif_cycle,first_nonzero_delay_cycle,first_nonzero_reichardt_cycle,first_nonzero_burst_cycle,pass_fail,notes
golden_unscheduled,vvp sim/build/tb_pred_valid_golden +TEST_NAME=full_gp +EVENT_SPACING=1 +EVENT_COUNT=64 +RESET_CYCLES=64 +QUIET_CYCLES=32 +STAGE_OUT=diagnostics_full/out/stage_golden.log,vvp,64,32,416,linear monotonic unscheduled,0,-1,-1,-1,-1,-1,FAIL,PHASE2_STAGE events=64 lif=0 delay=0 reichardt=0 burst=0 pred=0 first_ev=33 first_lif=-1 first_delay=-1 first_reichardt=-1 first_burst=-1 first_pred=-1
must_fire_aligned,vvp sim/build/tb_pred_must_fire +X_STEP=1 +STAGE_OUT=diagnostics_full/out/stage_must_fire.log,vvp,128,64,16498,hash-aligned sequential hits,0,-1,-1,-1,-1,-1,FAIL,PHASE2_STAGE events=64 lif=0 delay=0 reichardt=0 burst=0 pred=0 first_ev=305 first_lif=-1 first_delay=-1 first_reichardt=-1 first_burst=-1 first_pred=-1
